b22659b9.e12c.4725.a7db.a833de_D1_D2.Unshared.Log.Ratio	X3fbf076a.824b.4eac.b6dc.bf5e59_D2.Unshared.Log.Ratio	X2b73e01c.347a.4dae.a71d.752aeb_D2.Unshared.Log.Ratio	X340a3769.3031.41ae.bb08.a2f696_D2.Unshared.Log.Ratio	X994f9b8e.46cb.413f.8ec8.2c2fed_D2.Unshared.Log.Ratio	X3e746bea.ed68.40e6.b348.6ddf08_D2.Unshared.Log.Ratio	X0745488e.0bfb.4d1f.8228.dedf76_D1_D2.Unshared.Log.Ratio	X8ed739dd.ae0f.4881.971a.db3cf4_D1_D2.Unshared.Log.Ratio	X21efd60f.6a31.4b98.9477.16a905_D2.Unshared.Log.Ratio	X092af714.b97a.457c.b0e9.8c20e8_D2.Unshared.Log.Ratio	b9c1f22e.61f7.45ed.b3b4.5094c7_D2.Unshared.Log.Ratio	X685ec3c2.e67a.40d3.9eb3.aa01c9_D1_D2.Unshared.Log.Ratio	X31c15e30.21d4.4843.bd4a.9cd0d8_D2.Unshared.Log.Ratio	X1abbcb28.f221.4cd4.8c01.37b9bb_D1_D2.Unshared.Log.Ratio	X61f76fe6.a1c6.41b8.bdc2.2f9209_D2.Unshared.Log.Ratio	X1db5574d.aca7.403c.8100.6e705f_D2.Unshared.Log.Ratio	X6e209757.a7f4.45af.b5f3.2ebc02_D2.Unshared.Log.Ratio	X1556af7e.c2ae.4fce.9aae.87c459_D1_D2.Unshared.Log.Ratio	X7edfd606.4bee.4529.9fec.1ca7f0_D2.Unshared.Log.Ratio
ACAA1	-0.0865012445091236	0.0146868054989768	-0.170281446222726	0.10043191289041	-0.130801772844971	-0.316812613046629	-0.144658799905123	0.159273835949334	0.473427546804839	0.281301399224146	0.0618771826512053	0.304235821221776	-0.146170020343015	0.206656754928015	-0.631949968745938	0.269609684637923	-0.277654343387784	-0.334583937569727	0.074037764833231
ACAA2	-0.316927403093445	0.178452075192622	-0.858136417824491	0.118736338268014	-0.107312767782192	0.359672944353413	0.383182759690576	0.330273285225234	-0.0734543669275615	0.353514017018025	-0.00588568538296153	0.0533403323437244	-0.382620497784927	0.413477592743706	0.0453077411216255	0.594043557450435	-0.0368785626698614	-0.207614012089146	0.259290057166184
ACACA	0.452360418081697	0.270255481641465	-1.10536304783213	-0.770505723260685	0.283582384469559	-0.122672826711765	-0.131226503792492	0.0570366967480469	-1.10319765751531	-0.472902552734602	-0.352761475532263	-0.450178672698559	-0.38955636456285	0.18903663553165	-0.0437403736984047	0.387204611164665	0.0260427809423857	0.289989147262864	0.490469073725995
ACACB	1.96573057563158	0.0142858338685083	-1.51583718078714	-0.484461990228899	-0.341374761772495	0.900957235604723	-0.120569225013686	3.84213383781721	0.90254604721336	0.102563638926124	-0.146898391696113	0.898892393753165	0.865858665585735	1.66175437821035	0.293702797066819	2.3830245794836	0.786580276033688	0.260494111343754	-0.017085990336449
ACAD10	-0.0291752372255834	1.18363109259681	0.15504155431452	-0.214629439066354	0.0878083300334273	-0.0744165389128944	-0.516467103205377	0.295389029432723	0.480431375098475	-0.394833988437244	0.00664776768842671	0.281793957038759	1.00816872299194	1.09637935637474	0.45108199328475	0.572216312553954	-0.104283424146114	0.413173655111896	0.474811800403313
ACAD8	-0.266135363253708	0.790645654968846	0.047306832567854	0.311162742401464	0.153006931217115	0.594647168378659	0.855538593831049	0.298087690419509	0.37066663491722	0.153523592197872	0.206999883976376	-0.0368384365276386	0.974130871149094	0.912685363795775	1.01813994630779	0.194300717304253	0.487694983386681	0.665891072263245	0.191478399173034
ACAD9	-0.493447438475063	0.0310395904012405	-0.265155525207085	-1.09473243520198	-0.497028833788265	-0.123162730638723	-0.893063007988887	-1.3052090700492	-1.18325223049168	-0.0855517303651133	-0.999904376039014	-0.673940729211502	-0.390610366816236	-1.81811979401958	-1.17791632787806	-1.44219996881334	0.0199636355327641	0.3188710430426	-0.0862631256530057
ACADL	1.59079839831203	-0.447406202992908	-0.778983841556847	0.583189940436686	0.863787939159828	2.14021743413761	2.30450240737242	2.26559573983718	1.23316661867375	-0.205958061497286	0.287592438056656	1.77712039168722	-0.661924303667636	1.67261265446419	-1.00676382711877	2.80993531417831	1.68163204149457	-1.16436351638601	0.394166183485913
ACADM	-0.167268766360628	0.238929850472133	0.652592596136397	-0.283463185560386	-0.141173610892723	0.653240173863552	0.555295861793667	-0.354171843361874	0.0346652147657945	-0.0844384178039463	-0.360388584364258	0.588810553829501	-0.168886379445419	0.216474085593523	-0.107506154323725	-0.0480165439395983	-0.256706499597006	-0.0672555368185535	-0.205013994770661
ACADS	-0.77122153659304	-0.0480335368276556	0.612187108040285	0.190344536257997	0.250325758159553	-0.57538477568239	0.778097744755375	1.08863819724742	0.428812403668814	0.201198979552076	0.083037841313293	0.555361569355816	0.25420801819171	0.874163563121099	0.35889927073944	0.935664239768788	0.319771429550756	-0.236251356069005	0.0188147437679611
