X1740224c.32d1.4c9f.98c6.653363	X6c660b6b.bfda.47b0.9499.160d49	X1664b920.5e60.4e3b.9aab.fe121c	X81116212.b7e6.454b.9579.105cf3	X33adae13.5dbd.4530.a5d5.3763e4	X428de0d4.7f84.4075.bae1.352af6	X0a80d3c4.0758.447a.958c.ea868c	X53723086.8858.4395.93d7.0baa68	X3367406e.d39c.4641.a3e7.44e1f3	X241ecd0e.89bd.4d3a.81b3.55a250	X64ee175f.f3ce.446e.bbf4.9b6fa8_D1	X4749ba99.d3b8.4ae3.b6f6.458bc7	X7ac27de9.0932.4ff5.aab8.29c527	X885fe794.a98e.4f81.a284.ac4bb8
ACAP3	0.734089985362985	0.728846151885706	0.714183739475955	-0.000787738591269865	0.506389954237288	0.425006682377048	0.890701785743407	-0.144865154998454	0.455357833671274	0.734278679104038	0.600255278261064	0.513186349170809	0.386925325650195	0.716554110663427
ACAT1	1.39680186938052	1.31912527328347	1.35323808023553	0.285683284452352	1.93302660662136	0.73533520077681	1.29779378584192	1.65769417511895	1.86058838151011	1.41114193656832	1.07387408489205	0.569060199769661	1.15044739382923	1.34482721211833
ACAT2	0.665109919183117	0.913912440696023	0.926934164163727	0.2768064249914	1.01141733030913	1.0414878310268	0.527026296306481	1.34688406845371	0.935360533192329	1.2113894480082	1.95306013554925	0.684158690268535	0.589765624989759	0.848580867658934
ACBD3	-1.09944065935353	-1.12896648947181	-0.82700890575916	-0.467635482408504	-1.27637877776044	-0.854771111940692	-1.0124347971353	-1.00304058254752	-0.836655108911442	-1.04797714301749	-0.898934654590268	-0.899560674539233	-1.33657505137233	-1.16667892015028
ACBD5	-0.421354674146988	-1.16384487282115	-1.76694305393146	-2.48726031567729	-1.80522333507934	-1.70449365780487	-1.11798261200329	-2.23790228604156	-2.22975308832084	-1.30066539770325	-1.1047271477118	-1.87550887182543	-1.40179153842138	-2.19206186841084
ACBD6	1.65208415517391	0.541656830608227	2.24927291273216	0.720246126005553	1.67071542202291	1.05608384918799	1.22507163496604	0.955738099556755	2.38347023401091	2.27440208809343	2.79842694203774	1.52343790137445	1.26744810750947	1.5299061837429
ACCS	1.98131730311446	2.63553116011865	3.36075250735453	1.96386045664646	1.99453159033173	2.18758507152757	2.1071468730791	2.21757868681227	2.16047947233954	2.58087556398262	3.69998499664129	4.18941472296009	1.98704282466326	2.45028581810691
ACE	0.0802650539510947	0.263485927335659	0.379204927514296	0.71692947008604	1.12190708823387	0.23112028590071	1.2139776539828	0.466224085887878	0.861702942075972	0.811123835628367	0.674465194331248	1.21223450684788	1.4977625382124	0.674894254338403
ACE2	0.727394986712281	1.25554303897254	1.25714850264899	0.767642407500092	1.19484493430741	0.536521682796205	1.2489278344218	1.63979041700817	1.45630809227016	1.18690213385994	1.21500299052024	0.948308111913077	0.928298916173681	1.43877630021544
ACIN1	-0.807222894802414	-0.86420433704795	-1.23276067874666	-0.387713040855578	-0.991188403401265	-0.35071891831565	-0.879775615571603	-0.632468025227554	-1.37558993102928	-1.04253843224042	-1.22252135886436	-0.742405055979071	-0.695145388015345	-0.860588412339892
ACLY	-0.181965900322155	0.327238278496506	-0.225759401003044	-0.167964661219279	-0.0855055716820775	-0.282607030966141	-0.466575109194249	-0.25363070703618	-0.257601397338436	-0.308453597900001	0.00369251190984901	-0.294422301567973	-0.434424554320338	-0.0563832882657595
ACO1	1.98341300810392	1.62937678740767	1.96453480741773	0.592886222191755	1.79998056896989	0.825660200012863	1.79669148571737	1.92023814192526	2.14438074922098	1.74505267887544	1.77386848695629	1.05297738598807	1.32969148823106	1.84093661011024
ACO2	0.899200124701187	0.769654298283078	0.805216404426379	-0.00636859265053057	1.43922876253315	0.426815949736725	0.73000253290812	1.49137540839194	0.922436137935402	0.678898931130426	0.723153808771342	0.172441045537956	0.599153185621192	0.86489396663678
ACOT1	0.900174775591179	1.66617731357068	1.25465281241388	1.47226379128809	-0.223029767243926	0.542477351173819	0.910841328316753	1.94242479757368	-0.0520633593290643	0.591240247126557	1.40975711971716	-0.339753059275898	-1.43585726995394	1.44419510795834
ACOT11	2.21587967311906	1.00172201626572	-0.907450691022278	1.18457366784825	-1.49181078302191	-0.0760335373706774	0.963668445563668	1.4396893780124	-0.662140237486993	-0.373126238955244	-1.01326929707778	-0.563267886415406	-0.855159948163038	0.897918829320662
ACOT13	0.818894100789472	0.772511385990202	1.02551491807574	0.131822742518417	1.13437558671246	0.288303215432632	0.769845873554885	1.77411206251532	1.68959082294051	1.07992248784263	1.08179254325283	-0.0313984884461055	0.440620341917753	1.30387186925459
ACOT2	2.92604898694516	1.90556865714643	2.22586808524185	1.00863452003271	1.89582139744177	1.25291971644489	2.75408555855258	1.30729833109836	1.98312343358379	2.11346290266793	1.72964656988662	1.33086964982547	1.35294804248616	2.23813114291822
ACOT4	0.155795848700732	-0.479700579631831	-0.0252222820492912	-0.596258968610537	0.49345921391319	-0.31112721004744	-0.311142882137538	-1.2132776391666	-1.16067547464929	-0.159932311010975	-0.244064242956269	0.512966518437357	0.915065486230194	-1.02004885622165
ACOT7	0.133465752186317	-0.431082010530876	-0.226320961503251	-0.806620408855458	-0.464192406433959	-0.769385124047535	-0.853727909104241	0.0266039302437723	-0.265658939965927	-0.0964672253557012	0.495953843790996	-0.380393275007248	-0.532501464639156	-0.508176216173115
ACOT8	-1.25465828792594	-1.67896155664059	-0.666747441774798	-0.884605798710772	-0.646103124743851	-1.01702304260016	-1.81727060233629	-1.62575660728369	-0.769547006761366	-0.651109035586713	-0.268586598991492	-0.656200217324449	-0.717823129696155	-1.61786964580906
ACOT9	0.635873999213428	0.422395881173523	0.812193541250138	-0.0856858604784551	0.862661882685714	0.360824829039404	0.690662526162111	0.517816557099297	0.891830946715998	0.672099796896058	0.77094901517601	0.372914493641941	0.752432558402519	0.638733953778366
ACOX1	0.227587290652277	0.253903344524224	0.132259003880466	-0.67917854062513	0.162799372223503	-0.515541782313555	0.325257631038292	0.449465605101859	0.149020419270687	0.0137275118877927	-0.0280281160018445	-0.49522821576383	-0.300302003083271	0.0442742208802616
ACOX3	-0.360132057795196	-0.261274225803916	-0.843601975193791	-0.80492353484393	-0.738681848126301	-0.912130039922971	-0.580957506241434	0.118953328972896	-0.744316795478007	-0.90213985338719	-0.708884677205403	-0.703648939463586	-0.759438620580893	-0.267821271935047
ACP1	0.850985360945205	1.21350451882785	1.62018848557673	0.413186285332193	1.16010714629168	0.667914695549806	1.04077916854747	0.988593232654546	1.29288636540864	1.49323358041162	2.64645730826789	0.745277164942858	0.675659802830361	1.08801715706104
ACP2	-0.829456042852153	-0.294240029438375	-0.643408156942897	-0.582966547308413	-0.574933434314417	-0.815326050961747	-0.494709817019868	-0.543152986805953	-0.518821634708703	-0.86388394148245	-1.14848666159848	-1.26322655792252	-0.767302365183461	-0.934805675210836
ACP5	0.102675983927004	0.723113049415849	-0.142682230257947	0.524228131676438	-0.697223130590702	0.754498144065491	0.30902213492736	1.53397689102293	0.525431087115662	0.111524913059985	0.0881912199867967	-0.716936993816148	-0.267732051491429	1.29100481786635
ACP6	-0.174756857015846	0.117244240349994	-0.152255137566213	-0.0766552564458368	0.260186293860941	0.0369178941010819	-0.76028544251181	0.181580881319538	-0.0790746035466358	0.0768548604687047	0.138058542122809	0.185643731965718	0.104036856220161	-0.277979453821452
ACPP	-1.5098574009585	0.0541000545538073	0.258050610467162	-0.152050850769633	-0.112332759271889	-1.4621225708749	-1.97149456943044	-0.615065225451147	0.336322582304529	0.551665949630051	1.01187909619185	0.519332981373928	0.154782829579069	-0.966199719065759
